2020-06-19 15:25:06,785 - TestValue - INFO - {'Test_ID': 2, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:25:05', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121858.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.378, 'top1': 160, 'top2': 0, 'top3': 7, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/0/IMG_20190807_121858.jpg'}
2020-06-19 15:25:07,708 - TestValue - INFO - {'Test_ID': 1, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:25:05', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121857.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.476, 'top1': 0, 'top2': 160, 'top3': 288, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/0/IMG_20190807_121857.jpg'}
2020-06-19 15:25:08,036 - TestValue - INFO - {'Test_ID': 3, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:25:05', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121859.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.497, 'top1': 160, 'top2': 0, 'top3': 7, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/0/IMG_20190807_121859.jpg'}
2020-06-19 15:25:08,400 - TestValue - INFO - {'Test_ID': 4, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:25:06', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121900.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.295, 'top1': 0, 'top2': 160, 'top3': 7, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/0/IMG_20190807_121900.jpg'}
2020-06-19 15:25:09,375 - TestValue - INFO - {'Test_ID': 5, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:25:07', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121900_1.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.305, 'top1': 0, 'top2': 160, 'top3': 159, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/0/IMG_20190807_121900_1.jpg'}
2020-06-19 15:25:09,517 - TestValue - INFO - {'Test_ID': 6, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:25:08', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121901.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.299, 'top1': 0, 'top2': 289, 'top3': 160, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/0/IMG_20190807_121901.jpg'}
2020-06-19 15:25:09,900 - TestValue - INFO - {'Test_ID': 7, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:25:08', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121902.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.319, 'top1': 0, 'top2': 267, 'top3': 106, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/0/IMG_20190807_121902.jpg'}
2020-06-19 15:25:10,824 - TestValue - INFO - {'Test_ID': 8, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:25:09', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121903.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.324, 'top1': 0, 'top2': 106, 'top3': 289, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/0/IMG_20190807_121903.jpg'}
2020-06-19 15:25:11,234 - TestValue - INFO - {'Test_ID': 9, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:25:09', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121903_1.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.285, 'top1': 0, 'top2': 289, 'top3': 267, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/0/IMG_20190807_121903_1.jpg'}
2020-06-19 15:25:11,702 - TestValue - INFO - {'Test_ID': 10, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:25:09', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121904.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.313, 'top1': 0, 'top2': 289, 'top3': 119, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/0/IMG_20190807_121904.jpg'}
2020-06-19 15:25:12,509 - TestValue - INFO - {'Test_ID': 11, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:25:10', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121905.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.318, 'top1': 0, 'top2': 288, 'top3': 119, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/0/IMG_20190807_121905.jpg'}
