2020-06-19 15:27:09,520 - TestValue - INFO - {'Test_ID': 87, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:27:07', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110950_1.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.437, 'top1': 1, 'top2': 141, 'top3': 6, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110950_1.jpg'}
2020-06-19 15:27:09,843 - TestValue - INFO - {'Test_ID': 86, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:27:07', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110950.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.451, 'top1': 1, 'top2': 141, 'top3': 205, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110950.jpg'}
2020-06-19 15:27:10,727 - TestValue - INFO - {'Test_ID': 88, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:27:07', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110951.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.456, 'top1': 1, 'top2': 141, 'top3': 6, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110951.jpg'}
2020-06-19 15:27:11,022 - TestValue - INFO - {'Test_ID': 89, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:27:09', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110952.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.301, 'top1': 1, 'top2': 141, 'top3': 6, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110952.jpg'}
2020-06-19 15:27:11,414 - TestValue - INFO - {'Test_ID': 90, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:27:09', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110953.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.312, 'top1': 1, 'top2': 141, 'top3': 205, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110953.jpg'}
2020-06-19 15:27:12,403 - TestValue - INFO - {'Test_ID': 91, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:27:10', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110954.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.317, 'top1': 1, 'top2': 141, 'top3': 138, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110954.jpg'}
2020-06-19 15:27:12,635 - TestValue - INFO - {'Test_ID': 92, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:27:11', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_110956.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.302, 'top1': 1, 'top2': 141, 'top3': 99, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_110956.jpg'}
2020-06-19 15:27:12,923 - TestValue - INFO - {'Test_ID': 93, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:27:11', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_111152.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.326, 'top1': 1, 'top2': 138, 'top3': 137, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_111152.jpg'}
2020-06-19 15:27:13,889 - TestValue - INFO - {'Test_ID': 94, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:27:12', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_111152_1.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.316, 'top1': 1, 'top2': 205, 'top3': 138, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_111152_1.jpg'}
2020-06-19 15:27:14,039 - TestValue - INFO - {'Test_ID': 95, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:27:12', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_111153.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.297, 'top1': 1, 'top2': 205, 'top3': 99, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_111153.jpg'}
2020-06-19 15:27:14,669 - TestValue - INFO - {'Test_ID': 96, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:27:12', 'Cultural_Name': '汉代釉陶望楼', 'Test_Chart': 'IMG_20190807_111153_1.jpg', 'Code': 1, 'Expected_Value': 1, 'TimeConsuming': 1.332, 'top1': 1, 'top2': 205, 'top3': 141, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/1/IMG_20190807_111153_1.jpg'}
