2020-06-19 15:31:13,810 - TestValue - INFO - {'Test_ID': 274, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:12', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111508.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.399, 'top1': 3, 'top2': 5, 'top3': 97, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111508.jpg'}
2020-06-19 15:31:13,934 - TestValue - INFO - {'Test_ID': 272, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:12', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111507.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.405, 'top1': 5, 'top2': 12, 'top3': 8, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111507.jpg'}
2020-06-19 15:31:14,127 - TestValue - INFO - {'Test_ID': 273, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:12', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111507_1.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.408, 'top1': 5, 'top2': 12, 'top3': 97, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111507_1.jpg'}
2020-06-19 15:31:15,375 - TestValue - INFO - {'Test_ID': 275, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:13', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111509.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.303, 'top1': 3, 'top2': 5, 'top3': 97, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111509.jpg'}
2020-06-19 15:31:15,676 - TestValue - INFO - {'Test_ID': 276, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:13', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111509_1.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.303, 'top1': 3, 'top2': 5, 'top3': 12, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111509_1.jpg'}
2020-06-19 15:31:16,019 - TestValue - INFO - {'Test_ID': 277, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:14', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111510.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.295, 'top1': 5, 'top2': 3, 'top3': 97, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111510.jpg'}
2020-06-19 15:31:16,952 - TestValue - INFO - {'Test_ID': 278, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:15', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111510_1.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.345, 'top1': 3, 'top2': 5, 'top3': 12, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111510_1.jpg'}
2020-06-19 15:31:17,152 - TestValue - INFO - {'Test_ID': 279, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:15', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111511.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.282, 'top1': 3, 'top2': 5, 'top3': 4, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111511.jpg'}
2020-06-19 15:31:17,598 - TestValue - INFO - {'Test_ID': 280, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:16', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111511_1.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.318, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111511_1.jpg'}
2020-06-19 15:31:18,536 - TestValue - INFO - {'Test_ID': 281, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:16', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111512.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.387, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111512.jpg'}
2020-06-19 15:31:18,719 - TestValue - INFO - {'Test_ID': 282, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 15:31:17', 'Cultural_Name': '涌泉混流瓦当', 'Test_Chart': 'IMG_20190807_111513.jpg', 'Code': 3, 'Expected_Value': 3, 'TimeConsuming': 1.301, 'top1': 5, 'top2': 3, 'top3': 4, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:/Python/python3/文物识别批量测试/8.6日拍摄测试样本照片（批处理）/3/IMG_20190807_111513.jpg'}
