2020-06-19 16:14:50,417 - Statistics - INFO - {'ID': 1, 'CulturalName': '人物车马俑', 'CulturalCode': 0, 'Numbertest': 52, 'PASS': 39, 'FAIL': 13, 'ERROR': 0, 'Accuracy': 0.75, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:14:50,418 - Statistics - INFO - {'ID': 2, 'CulturalName': '汉代釉陶望楼', 'CulturalCode': 1, 'Numbertest': 80, 'PASS': 80, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,418 - Statistics - INFO - {'ID': 3, 'CulturalName': '彩绘房形仓', 'CulturalCode': 2, 'Numbertest': 81, 'PASS': 81, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,418 - Statistics - INFO - {'ID': 4, 'CulturalName': '涌泉混流瓦当', 'CulturalCode': 3, 'Numbertest': 81, 'PASS': 29, 'FAIL': 52, 'ERROR': 0, 'Accuracy': 0.358, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:14:50,419 - Statistics - INFO - {'ID': 5, 'CulturalName': '忆年无疆瓦当', 'CulturalCode': 4, 'Numbertest': 80, 'PASS': 31, 'FAIL': 49, 'ERROR': 0, 'Accuracy': 0.388, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:14:50,419 - Statistics - INFO - {'ID': 6, 'CulturalName': '方格纹砖', 'CulturalCode': 5, 'Numbertest': 83, 'PASS': 47, 'FAIL': 36, 'ERROR': 0, 'Accuracy': 0.566, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:14:50,419 - Statistics - INFO - {'ID': 7, 'CulturalName': '石臼', 'CulturalCode': 6, 'Numbertest': 79, 'PASS': 78, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.987, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,419 - Statistics - INFO - {'ID': 8, 'CulturalName': '铜合页', 'CulturalCode': 7, 'Numbertest': 79, 'PASS': 79, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,419 - Statistics - INFO - {'ID': 9, 'CulturalName': '建武元年砖', 'CulturalCode': 8, 'Numbertest': 63, 'PASS': 43, 'FAIL': 20, 'ERROR': 0, 'Accuracy': 0.683, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:14:50,420 - Statistics - INFO - {'ID': 10, 'CulturalName': '几何纹砖', 'CulturalCode': 9, 'Numbertest': 79, 'PASS': 63, 'FAIL': 16, 'ERROR': 0, 'Accuracy': 0.797, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:14:50,420 - Statistics - INFO - {'ID': 11, 'CulturalName': '将作官瓦', 'CulturalCode': 10, 'Numbertest': 68, 'PASS': 40, 'FAIL': 28, 'ERROR': 0, 'Accuracy': 0.588, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:14:50,420 - Statistics - INFO - {'ID': 12, 'CulturalName': '长乐未央千秋万世昌瓦当', 'CulturalCode': 11, 'Numbertest': 41, 'PASS': 41, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,420 - Statistics - INFO - {'ID': 13, 'CulturalName': '几何纹砖', 'CulturalCode': 12, 'Numbertest': 40, 'PASS': 40, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,420 - Statistics - INFO - {'ID': 14, 'CulturalName': '上林瓦当', 'CulturalCode': 13, 'Numbertest': 40, 'PASS': 17, 'FAIL': 23, 'ERROR': 0, 'Accuracy': 0.425, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:14:50,421 - Statistics - INFO - {'ID': 15, 'CulturalName': '与天毋及瓦当', 'CulturalCode': 14, 'Numbertest': 42, 'PASS': 42, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,421 - Statistics - INFO - {'ID': 16, 'CulturalName': '板瓦', 'CulturalCode': 15, 'Numbertest': 45, 'PASS': 45, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,421 - Statistics - INFO - {'ID': 17, 'CulturalName': '与天无极瓦当', 'CulturalCode': 16, 'Numbertest': 46, 'PASS': 41, 'FAIL': 5, 'ERROR': 0, 'Accuracy': 0.891, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:14:50,421 - Statistics - INFO - {'ID': 18, 'CulturalName': '延年瓦当', 'CulturalCode': 17, 'Numbertest': 44, 'PASS': 36, 'FAIL': 8, 'ERROR': 0, 'Accuracy': 0.818, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:14:50,422 - Statistics - INFO - {'ID': 19, 'CulturalName': '冢上西当瓦当', 'CulturalCode': 18, 'Numbertest': 44, 'PASS': 44, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,422 - Statistics - INFO - {'ID': 20, 'CulturalName': '延年益寿瓦当', 'CulturalCode': 19, 'Numbertest': 45, 'PASS': 44, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.978, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,422 - Statistics - INFO - {'ID': 21, 'CulturalName': '李字瓦当', 'CulturalCode': 20, 'Numbertest': 46, 'PASS': 46, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
