2020-06-19 16:19:18,563 - Statistics - INFO - {'Test_ID': 1, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '人物车马俑', 'CulturalCode': 0, 'Numbertest': 52, 'PASS': 39, 'FAIL': 13, 'ERROR': 0, 'Accuracy': 0.75, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:19:18,563 - Statistics - INFO - {'Test_ID': 2, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '汉代釉陶望楼', 'CulturalCode': 1, 'Numbertest': 80, 'PASS': 80, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,565 - Statistics - INFO - {'Test_ID': 3, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '彩绘房形仓', 'CulturalCode': 2, 'Numbertest': 81, 'PASS': 81, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,565 - Statistics - INFO - {'Test_ID': 4, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '涌泉混流瓦当', 'CulturalCode': 3, 'Numbertest': 81, 'PASS': 29, 'FAIL': 52, 'ERROR': 0, 'Accuracy': 0.358, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:19:18,565 - Statistics - INFO - {'Test_ID': 5, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '忆年无疆瓦当', 'CulturalCode': 4, 'Numbertest': 80, 'PASS': 31, 'FAIL': 49, 'ERROR': 0, 'Accuracy': 0.388, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:19:18,565 - Statistics - INFO - {'Test_ID': 6, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '方格纹砖', 'CulturalCode': 5, 'Numbertest': 83, 'PASS': 47, 'FAIL': 36, 'ERROR': 0, 'Accuracy': 0.566, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:19:18,565 - Statistics - INFO - {'Test_ID': 7, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '石臼', 'CulturalCode': 6, 'Numbertest': 79, 'PASS': 78, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.987, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,565 - Statistics - INFO - {'Test_ID': 8, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '铜合页', 'CulturalCode': 7, 'Numbertest': 79, 'PASS': 79, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:19:18,565 - Statistics - INFO - {'Test_ID': 9, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '建武元年砖', 'CulturalCode': 8, 'Numbertest': 63, 'PASS': 43, 'FAIL': 20, 'ERROR': 0, 'Accuracy': 0.683, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:19:18,565 - Statistics - INFO - {'Test_ID': 10, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '几何纹砖', 'CulturalCode': 9, 'Numbertest': 79, 'PASS': 63, 'FAIL': 16, 'ERROR': 0, 'Accuracy': 0.797, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:19:18,565 - Statistics - INFO - {'Test_ID': 11, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:19:18', 'CulturalName': '将作官瓦', 'CulturalCode': 10, 'Numbertest': 68, 'PASS': 40, 'FAIL': 28, 'ERROR': 0, 'Accuracy': 0.588, 'Color': 'ffc7ce_9c0006'}
