2020-06-19 16:46:10,466 - Statistics - INFO - {'Test_ID': 1, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '人物车马俑', 'Code': 0, 'Test_Number': 52, 'PASS': 39, 'FAIL': 13, 'ERROR': 0, 'Accuracy': 0.75, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:46:10,466 - Statistics - INFO - {'Test_ID': 2, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '汉代釉陶望楼', 'Code': 1, 'Test_Number': 80, 'PASS': 80, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,467 - Statistics - INFO - {'Test_ID': 3, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '彩绘房形仓', 'Code': 2, 'Test_Number': 81, 'PASS': 81, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,467 - Statistics - INFO - {'Test_ID': 4, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '涌泉混流瓦当', 'Code': 3, 'Test_Number': 81, 'PASS': 29, 'FAIL': 52, 'ERROR': 0, 'Accuracy': 0.358, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:46:10,467 - Statistics - INFO - {'Test_ID': 5, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '忆年无疆瓦当', 'Code': 4, 'Test_Number': 80, 'PASS': 31, 'FAIL': 49, 'ERROR': 0, 'Accuracy': 0.388, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:46:10,468 - Statistics - INFO - {'Test_ID': 6, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '方格纹砖', 'Code': 5, 'Test_Number': 83, 'PASS': 47, 'FAIL': 36, 'ERROR': 0, 'Accuracy': 0.566, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:46:10,468 - Statistics - INFO - {'Test_ID': 7, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '石臼', 'Code': 6, 'Test_Number': 79, 'PASS': 78, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.987, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,468 - Statistics - INFO - {'Test_ID': 8, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '铜合页', 'Code': 7, 'Test_Number': 79, 'PASS': 79, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,468 - Statistics - INFO - {'Test_ID': 9, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '建武元年砖', 'Code': 8, 'Test_Number': 63, 'PASS': 43, 'FAIL': 20, 'ERROR': 0, 'Accuracy': 0.683, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:46:10,468 - Statistics - INFO - {'Test_ID': 10, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '几何纹砖', 'Code': 9, 'Test_Number': 79, 'PASS': 63, 'FAIL': 16, 'ERROR': 0, 'Accuracy': 0.797, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:46:10,469 - Statistics - INFO - {'Test_ID': 11, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '将作官瓦', 'Code': 10, 'Test_Number': 68, 'PASS': 40, 'FAIL': 28, 'ERROR': 0, 'Accuracy': 0.588, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:46:10,469 - Statistics - INFO - {'Test_ID': 12, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '长乐未央千秋万世昌瓦当', 'Code': 11, 'Test_Number': 41, 'PASS': 41, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,469 - Statistics - INFO - {'Test_ID': 13, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '几何纹砖', 'Code': 12, 'Test_Number': 40, 'PASS': 40, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:46:10,469 - Statistics - INFO - {'Test_ID': 14, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '上林瓦当', 'Code': 13, 'Test_Number': 40, 'PASS': 17, 'FAIL': 23, 'ERROR': 0, 'Accuracy': 0.425, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:46:10,470 - Statistics - INFO - {'Test_ID': 15, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 16:46:10', 'Cultural_Name': '与天毋及瓦当', 'Code': 14, 'Test_Number': 42, 'PASS': 42, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
